,Games,Gold,Silver,Bronze
0,1896 Athens details,Spyridon Louis  Greece,Charilaos Vasilakos  Greece,Gyula Kellner  Hungary
1,1900 Paris details,Michel Théato  Luxembourg[11][12],Émile Champion  France,Ernst Fast  Sweden
2,1904 St. Louis details,Thomas Hicks  United States,Albert Corey  France[13][14],Arthur Newton  United States
3,1908 London details,Johnny Hayes  United States,Charles Hefferon  South Africa,Joseph Forshaw  United States
4,1912 Stockholm details,Ken McArthur  South Africa,Christian Gitsham  South Africa,Gaston Strobino  United States
5,1920 Antwerp details,Hannes Kolehmainen  Finland,Jüri Lossmann  Estonia,Valerio Arri  Italy
6,1924 Paris details,Albin Stenroos  Finland,Romeo Bertini  Italy,Clarence DeMar  United States
7,1928 Amsterdam details,Boughera El Ouafi  France,Manuel Plaza  Chile,Martti Marttelin  Finland
8,1932 Los Angeles details,Juan Carlos Zabala  Argentina,Sam Ferris  Great Britain,Armas Toivonen  Finland
9,1936 Berlin details,Sohn Kee-chung  Japan[15],Ernest Harper  Great Britain,Nam Sung-yong  Japan[15]
10,1948 London details,Delfo Cabrera  Argentina,Tom Richards  Great Britain,Étienne Gailly  Belgium
11,1952 Helsinki details,Emil Zátopek  Czechoslovakia,Reinaldo Gorno  Argentina,Gustaf Jansson  Sweden
12,1956 Melbourne details,Alain Mimoun  France,Franjo Mihalić  Yugoslavia,Veikko Karvonen  Finland
13,1960 Rome details,Abebe Bikila  Ethiopia,Rhadi Ben Abdesselam  Morocco,Barry Magee  New Zealand
14,1964 Tokyo details,Abebe Bikila  Ethiopia,Basil Heatley  Great Britain,Kokichi Tsuburaya  Japan
15,1968 Mexico City details,Mamo Wolde  Ethiopia,Kenji Kimihara  Japan,Mike Ryan  New Zealand
16,1972 Munich details,Frank Shorter  United States,Karel Lismont  Belgium,Mamo Wolde  Ethiopia
17,1976 Montreal details,Waldemar Cierpinski  East Germany,Frank Shorter  United States,Karel Lismont  Belgium
18,1980 Moscow details,Waldemar Cierpinski  East Germany,Gerard Nijboer  Netherlands,Satymkul Dzhumanazarov  Soviet Union
19,1984 Los Angeles details,Carlos Lopes  Portugal,John Treacy  Ireland,Charlie Spedding  Great Britain
20,1988 Seoul details,Gelindo Bordin  Italy,Douglas Wakiihuri  Kenya,Ahmed Salah  Djibouti
21,1992 Barcelona details,Hwang Young-cho  South Korea,Koichi Morishita  Japan,Stephan Freigang  Germany
22,1996 Atlanta details,Josia Thugwane  South Africa,Lee Bong-ju  South Korea,Erick Wainaina  Kenya
23,2000 Sydney details,Gezahegne Abera  Ethiopia,Erick Wainaina  Kenya,Tesfaye Tola  Ethiopia
24,2004 Athens details,Stefano Baldini  Italy,Mebrahtom Keflezighi  United States,Vanderlei de Lima  Brazil
25,2008 Beijing details,Samuel Wanjiru  Kenya,Jaouad Gharib  Morocco,Tsegay Kebede  Ethiopia
26,2012 London details,Stephen Kiprotich  Uganda,Abel Kirui  Kenya,Wilson Kipsang Kiprotich  Kenya
27,2016 Rio de Janeiro details,Eliud Kipchoge  Kenya,Feyisa Lelisa  Ethiopia,Galen Rupp  United States
28,2020 Tokyo details,Eliud Kipchoge  Kenya,Abdi Nageeye  Netherlands,Bashir Abdi  Belgium
29,2024 Paris details,,,
